NOM DU MUSEE;ADR;CP;VILLE;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE;JOURS NOCTURNES
Musée de l'Etang de Thau;Quai du Port de Pêche;34140;BOUZIGUES;www.bouzigues.fr/musee;1er Janvier, 25 Décembre;Ouvert du lundi au dimanche en juillet-août de 10h à 12h30 et de 14h30 à 19h, de novembre à février de 10h à 12h et de 14h à 17h, de mars à Juin et de septembre à octobre de 10h à 12h et de 14h à 18h;
Musée Municipal;4 bis, Rue Lucien Salette;34110;FRONTIGNAN-LA-PEYRADE;site de la ville - www.ville-frontignan.fr;De décembre à mars;Ouvert de mars à novembre du mercredi au lundi de 10h à 12h et de 14h à 18h;
Musée de la Cloche et de la Sonnaille;"Espace Campanaire André-Malraux
Avenue de la Gare";34600;HEREPIAN;www.mairieherepian.fr/decouvrir-herepian/musee-de-la-cloche-et-de-la-sonnaille/ -  www.ot-lamaloulesbains.fr;;;
Site Archéologique Lattara - Musée Henri Prades de Montpellier Agglomération;390, Avenue de Pérols;34970;LATTES Cédex;www.montpellier-agglo.com/museearcheo;1er janvier, 1er mai, 14 juillet, 15 août, 1er novembre et 25 décembre;Ouvert le lundi, mercredi au vendredi de 10h à 12h et de 13h30 à 17h30, samedi, dimanche et jours fériés de 14h à 18h, de 14h à 19h lors des expositions temporaires;
Musée de l'Ephèbe;Mas de La Clape;34300;LE CAP D'AGDE;Site créé en décembre 2012;;Ouvert du lundi au vendredi de 10h à 12h et de 14h à 18h le week-end de 9h à 12h et de 14h à 17h. En juillet-août du lundi au dimanche de 10h à 18h;
Musée Intercommunal du Pic Saint-Loup;1, Rue du Musée;34270;LES MATELLES;www.cc-picsaintloup.fr;Décembre, janvier, février;Ouvert de juin à septembre du mercredi au dimanche de 14h30 à 18h30, de mars à juin et octobre à novembre, mercredi, samedi et dimanche de 14h à 18h;
Musée Fleury;"Hôtel du Cardinal de Fleury
Square Georges Auric";34700;LODEVE;www.museedelodeve.fr;1er Janvier, 1er Mai, 1er Novembre, 25 Décembre;Ouvert de juin à novembre du mardi au dimanche de 10h à 18h, le reste de l'année du mardi au dimanche de 9h30 à 12h et de 14h à 18h;Tous les mardis jusqu'à 22h du 6 juillet au 24 août
Musée Archéologique;Place du Monument aux Morts;34210;MINERVE;;Décembre, janvier et 22 jours en février;Ouvert tous les jours de 10h à 13h et de 14h à 18h du 1er mars à mi-novembre;
Musée de l'Hôtel d'Espeyran;6, bis rue Montpelliéret;34000;MONTPELLIER;www.montpellier-agglo.com;;Ouvert tous les mardis, jeudis, vendredis et dimanches de 10 à 18h, les mercredis de 13h à 21h, les samedis de 11h à 18h;
Musée Fabre;13, rue Montpellieret;34000;MONTPELLIER;www.montpellier-agglo.com/museefabre;1er janvier, 1er mai, 15 août, 1er novembre, 25 décembre;Ouvert  du mardi au  dimanche de 10h à 18h pour le musée permanent, et pour l'Hôtel Sabatier d'Espeyran et de 14h à 18h;Mercredi jusqu'à 21h
Musée Languedocien;"Hôtel des Trésoriers de France
7, Rue Jacques-Cœur";34000;MONTPELLIER;www.musee-languedocien.com;Jours fériés - du 21 décembre 2007 au 2 janvier 2008;Ouvert du lundi au samedi de 14h30 à 17h30, du 15 juin au 15 septembre du lundi au samedi de 15h à 18h;
Musée du Vieux Montpellier;"Hôtel de Varennes
2, Place Pétrarque";34000;MONTPELLIER;www.montpellier.fr/3803-manifestations-culturelles.htm;1er janvier, 1er mai, 25 décembre;Ouvert du mardi au dimanche de 10h à 13h et de 14h à 18h;
Agropolis-Muséum;951, Avenue Agropolis;34394;MONTPELLIER Cedex 5;www.museum.agropolis.fr;;Fermé définitivement;
Musée Municipal;"Hôtel de ville
Rue des Lavoirs";34570;MURVIEL-LES-MONTPELLIER;www.ville-murviel-les-montpellier.fr;Octobre à mars et jours fériés;Ouvert d'avril à mai tous les dimanches de 15h à 18h, en juillet-août du mardi au dimanche de 15h à 18h et en septembre le mercredi, samedi et dimanche de 15h à 18h;
Musée de Vulliod Saint-Germain;3, Rue Albert-Paul Allies;34120;PEZENAS;Site de la ville;Janvier et décembre, mardi gras.;Ouvert de juin à septembre de 10h à 12h et de 15h à 19h, nocturne du 1er juillet au 15 septembre les mercredis et vendredis de 21h à 23h,  du 13 février au 31 mai et du 1er octobre au 11 novembre de 10h à 12h et de 14h à 17h30;Mercredi et vendredi de 21h à 23h du 1er juillet au 15 septembre
Musée de Préhistoire Régionale et du Mégalithisme;8, Grand'Rue;34220;SAINT-PONS-DE-THOMIERES;www.pays-saintponais.com;Fermeture annuelle de novembre à mars;Ouvert des vacances de Pâques à fin juin de mi-septembre à fin septembre vacances de Toussaint du jeudi au dimanche de 15h à 18h, de juillet à mi-septembre du mardi au dimanche de 10h à 12h et de 15h à  18h;
Musée Paul Valéry;148, Rue François Desnoyer;34200;SETE;www.museepaulvalery-sete.fr;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert du 1er avril au 31 octobre de 9h30 à 19h tous les jour, du 2 novembre au 31 mars de 10h à 18h du mardi au dimanche;
Musée Ignon Fabre;3, Rue de l'Epine;48000;MENDE;;;;
Ecomusée du Mont Lozère;Route de Finiels;48220;PONT DE MONTVERT;www.mescevennes.com/decouvertes/ecomusee_loz.htm;Autres mois;Ouvert en février, mars, novembre, décembre les samedis de 15h à 18h, en avril, mai, octobre tous les jours de 15h à 18h, de juin à septembre tous les jours de 10h30 à 12h30 et de 14h30 à 18h30;
Musée départemental d'Art Moderne;"8, Bd Maréchal Joffre
B.P. 60413";66403;CERET Cedex;www.musee-ceret.com;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert tous les jours du 1er mai au 30 septembre. Du 1er juillet au 15 septembre de 10h à 19h, et de 10h à 18h du 16 septembre au 30 juin de 10h à 18h;
Musée d'Art Moderne - Fonds Peskè;"Villa Pams
Route de Port-Vendres";66190;COLLIOURE;www.collioure.net/musee.asp;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert tous les jours du 1er juin au 30 septembre de 10h à 12h et de 14h à 18h et du mercredi au lundi de 10h à 12h et de 14h à 18h du 1er octobre au 31 mai;
Muséum d'Histoire Naturelle;12, Place  Fontaine Neuve;66000;PERPIGNAN;www.mairie-perpignan.fr;1er janvier, 1er mai,  Assomption, 25 décembre;Ouvert du lundi au samedi de 9h30 à 17h;
Musée Archéologique de Ruscino;Château Roussillon;66000;PERPIGNAN;;;;
Musée du Castillet Casa Pairal;"Mairie de Perpignan
B.P. 931";66931;PERPIGNAN Cedex;Site de la mairie - www.mairie-perpignan.fr;1er janvier, 1er mai, 14 juillet, 25 décembre;Ouvert du mardi au dimanche de 10h30 à 18h;
Musée Joseph Puig;"42, Avenue de Grande-Bretagne
B.P. 931";66931;PERPIGNAN Cedex;Site de la mairie - www.mairie-perpignan.fr;Jours fériés;Ouvert mercredi et samedi de 10h à 18h et du  mardi au vendredi sur rendez-vous pour les groupes;
Musée Hyacinthe Rigaud;"16, rue de l'Ange
B.P. 931";66931;PERPIGNAN Cedex;Site de la mairie : www.mairie-perpignan.fr;;Ouvert du mardi au dimanche de 10h30 à 18h;
Musée d'Archéologie Sous-Marine;Mairie;66660;PORT-VENDRES;;;;
Musée de Cerdagne;Cal Mateu;66800;SAINTE-LEOCADIE;www.museedecerdagne.com;mi-novembre à la mi-décembre;Ouvert du 1er juillet au 13 octobre du dimanche au vendredi de 14 à 19h, en juillet de 14h à 20h en août de 14h à 20h, en septembre et octobre de 14h à 18h30. Tous le sjours pour les groupes d'avril à octobre.;
Musée de Tautavel;Avenue Léon-Jean Grégory;66720;TAUTAVEL;www.450000ans.com ou www.cerptautavel.com;;Ouvert toute l'année de 10h à 12h30 et de 14h à 18h en juillet août de 10h à 19h;
Musée Labenche d'Art et d'Histoire;26 bis, boulevard Jules Ferry;19100;BRIVE-LA-GAILLARDE;www.musee-labenche.com ou www.brive.net;1er janvier, 1er mai, 1er novembre, 25 décembre;"Musée ouvert du mercredi au lundi du 1er avril au 31 octobre de 10h à 18h30 et du 1er novembre au 31 mars de 13h30 à 18h & expositions temporaires d'avril à octobre de 10h à 12h et de 13h30 à 18h30 et de novembre à mars de 10h à 12h et de 13h30 à 18h.
Ch";
Musée du Président Jacques Chirac;;19800;SARRAN;www.museepresidentjchirac.fr;24, 25 décembre, 1er janvier et de la fin des vacances scolaires de Noël au 1er février;Ouvert tous les jours du 1er février à la fin des vacances scolaires de Noël de 10h à 12h30 et de 13h30 à 18h;
Musée du Cloître de Tulle André Mazeyrie;Place Monseigneur Berteaud;19000;TULLE;www.museecloitre-tulle.com ou www.ville-tulle.fr;;Ouvert du mercredi au lundi, les 1er et 3ème dimanche du mois du 1er mai au 31 octobre de 10h à 13h et de 14h à 18h30 et du 1er novembre au 30 avril de 13h à 18h;
Musée de la Mémoire et des Industries Tullistes;1, Rue du 9 juin 1944;19000;TULLE;Site de la ville;;Ouvert du 1er mai au 31 octobre de 10h à 13h et de 14h à 18h30, du 1er novembre au 30 avril de 13h à 18h le lundi et de mercredi et jeudi;
Musée du Pays d'Ussel;B.P. 63;19208;USSEL;http://www.ussel19.fr/culture-patrimoine/musee-du-pays-d-ussel.html;De mi-septembre aà mi-mai;Ouverture des 4 pôles du musée (Hôtel Bonnet de Bay, Maison Moncourier Beauregard, Imprimerie, Chapelle des Pénitents) tous les jours du 14 mai au 30 septembre de 14h à 18h et sur rendez-vous hors saison pour les groupes. La galerie d'exposition a ouvert;
Musée Départemental de la Tapisserie;"16, Avenue des Lissiers
B.P. 89";23200;AUBUSSON;www.cite-tapisserie.fr;25 décembre, 1er janvier;Ouvert du mercredi au lundi de 9h30 à 12h et de 14h à 18h de septembre à juin, en juillet-août de 10h à 18h sauf mardi matin;
Musée d'Art et d'Archéologie;"Hôtel de la Sénatorerie
22, avenue de la Sénatorerie";23000;GUERET;www.ville-gueret.fr/culture/musee.php;Jours fériés, 2ème, 4ème et 5ème dimanches du mois;Ouvert du 2 mai au 30 juin et du 1er septembre au 31 octobre du mercredi au lundi de 10h à12h et de 14h à 18h. En juillet-août tous les jours sauf fériés de 10 h à 12h et de 14h à 18h. Du 2 novembre au 30 avril du mercredi au lundi et les 1er et 3ème dima;
Musée René Baubérot;1, place Saint-Thyrse;87290;CHATEAUPONSAC;www.museechateauponsac.com;Entre les vacances de Noël et les vacances de février;Ouvert tous les jours du 1er juin au 30 septembre de 14h à 18h et d'octobre à mai, mercredi, samedi, dimanche et vacances scolaires zones B et C de 14h à 18h. Pour les groupes visites guidées tous les jours de 8h à 12h et de 13h30 à 18h;
Musée Municipal des Beaux-Arts de Limoges - Palais de l'Evêché;1, Place de l'Evêché;87000;LIMOGES;www.museebal.fr;1er janvier, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert du 1er avril au 30 septembre de 10h à 18h du mercredi au lundi et du 1er octobre au 31 mars, le lundi et du mercredi au samedi de 10h à 12h et de 14h à 17h et le dimanche de 14h à 17h;
Musée National Adrien Dubouché;8 bis, Place Winston Churchill;87000;LIMOGES;www.musee-adriendubouche.fr;1er janvier, 25 décembre;Ouvert du mercredi au lundi de 10h à 12h30 et de 14h à 17h45;
Musée Départemental d'Art Contemporain;Place du Château;87600;ROCHECHOUART;www.musee-rochechouart.com;Entre le 15 décembre et le 1er mars;Ouvert mercredi au lundi du 1er mars au 30 septembre de 10h à 12h30 et de 13h30 à 18h et du 1er octobre au 15 décembre  de 10h à 12h30 et de 14h à 17h;
Les Sources d'Hercule;1, place Jean-Marie Keyser;54120;DENEUVRE;www.museehercule.com/;;Ouvert du 1er mai au 30 septembre lundiet mardi de 14h à 18h, les autres jours de 10h à 12h et de 14h à 18h, du 1er mars au 30 avril et en octobre les week-end,vacances scolaires de la zone A et jours fériés de 14h à 17h;
Musée de l'Histoire du Fer;"1, Avenue du Général de Gaulle
B.P. 15";54140;JARVILLE-LA-MALGRANGE;www.grand-nancy.org;1er janvier, dimanche de Pâques, 1er novembre, 25 décembre;Ouvert lundi, mercredi au vendredi de 14h à 18h, samedi, dimanche et jours fériés de 10h à 12h et de 14h à 18h;
Musée du Château de Montaigu;167, Rue Lucien Galtier;54410;LANEUVEVILLE-DEVANT-NANCY;http://www.nancy.fr/transver/coord.htm#muslor - Site du Grand Nancy;Fermé en janvier, février et mars 2005;;
Musée Municipal des Emaux et Faïences;"Port de France
Rue de la Manutention";54400;LONGWY;http://http//www.mairie-longwy.fr;1er janvier, 25 décembre, 1er mai;Ouvert de novembre à avril  de 14h à 18h du mardi au vendredi et de 10h à 12h et 14h à 18h le week-end, et de mai à octobre du mardi au dimanche de 10h à 12h et de 14h à 18h;
Musée du Château de Lunéville;Place de la Deuxième Division de Cavalerie;54300;LUNEVILLE;www.chateauluneville.cg54.fr - http://www.chateaudeslumieres.com;;Ouvert du mercredi au lundi de 10h à 12h et de 14h à 18h;
Musée des Beaux-Arts de Nancy;"3, Place Stanislas
B.P. 218";54004;NANCY;www.mairie-nancy.fr;1er janvier, 1er mai, 14 juillet, 1er novembre, 25 décembre;Ouvert du mercredi au lundi de 10h à 18h;
Musée Historique Lorrain;"Palais Ducal
64, Grande Rue";54000;NANCY;http://www.nancy.fr/transver/coord.htm#muslor - Site du Grand Nancy;1er janv., 1er mai, 14 juil., 1er nov. et 25 déc.;Ouvert du mardi au dimanche de 10h à 12h30 et de 14h à 18h;
Musée de l'Ecole de Nancy;36-38, rue du Sergent Blandan;54000;NANCY;www.ecole-de-nancy.com;1er janvier, 1er mai, 14 juillet, 1er novembre, 25 décembre;Ouvert du mercredi au dimanche de 10h à 18h. Le premier Dimanche de chaque mois de 10h30 à 13h30;
Musée de Zoologie - Aquarium Tropical;34, Rue Sainte-Catherine;54000;NANCY;www.man.uhp-nancy.fr;1er janvier, 1er mai et  25 décembre,;Ouvert tous les jours de 10h à 12h et de 14h à 18h;
"Musée ""au Fil du Papier""";"Hôtel de la Monnaie
13, Rue Magot de Rogéville";54700;PONT-A-MOUSSON;Site de la ville;1er janvier, dimanche de Pâques, 1er mai, 14 juillet, 1er novembre,  25 décembre;Ouvert du 2 mai au 30 septembre lundi, mercredi au samedi de 14h à 18h, dimanche de 10h à 12h et de 14h à 18h, du 1er octobre au 30 avril lundi, mercredi au lundi de 14h à 17h;
Musée d'Art et d'Histoire de Toul;25, Rue Gouvion Saint-Cyr;54200;TOUL;www.toul.fr;1er janvier, dimanche et lundi de Pâques, 1er mai, 14 juillet, 1er novembre, 24, 25 et 31 décembre;Ouvert du 1er octobre au 30 avril de 14h à 17h et les matins aux groupes sur réservation et du 2 mai au 30 septembre de 10h à 12h30 et de 13h30 à 18h;
Musée Barrois;Esplanade du Château;55000;BAR-LE-DUC;site de la ville - http://www.barleduc.fr;1er janvier, 1er mai, 14 juillet, 15 août, 1er novembre, 25 décembre;Ouvert du mercredi au dimanche de  14h à 18h, et tous les jours en juillet août;
Musée de la Céramique et de l'Ivoire;7, Avenue Carcano;55200;COMMERCY;;;Ouvert du 1er juillet au 1er septembre du mercredi au lundi de 14h à 18h et du 1er mai au 30 juin et du 1er septembre au 1er octobre les week-end et jours fériés de 14h à 18h. Accessible en dehors de ces périodes aux groupes et aux classes sur demande;
Musée Jules Bastien-Lepage - Musée de la Fortification;"La Citadelle
B.P. 28";55600;MONTMEDY;www.tourisme-montmedy.fr;24 décembre au 2 janvier;Ouverture en janvier du lundi au vendredi de 10h30 à 13h et de 13h30 à 17h, en février, mars tous les jours de 10h30 à 13h et de 13h30 à 17h, en avril-septembre tous les jours de 10h à 13h et de 13h30 à 18h, en octobre-novembre tous les jours de 10h30 à 1;
Musée d'Art Sacré de la Meuse;Rue du Palais de Justice;55300;SAINT-MIHIEL;http://otsisaintmihiel.e-monsite.com;;Ouvert en avril, mai et octobre les week-ends et jours fériés de 14h à 18h, de juin à septembre du mercredi au lundi de 14h à 18h y compris les jours fériés;
Musée Départemental Raymond Poincaré;Clos Raymond Poincaré;55300;SAMPIGNY;http://www.cg55.fr;;Ouvert du 15 mai au 15 octobre le lundi  et du mercredi au vendredi de 10h à 12h et de 14h à 17h30, le samedi et dimanche de 10h à 12h30 et de 13h30 à 18h;
Musée de la Bière et du Pays de Stenay;Rue de la Citadelle;55700;STENAY;www.musee-de-la-biere.com;Du 1er novembre au 31 mars;Ouvert tous les jours du 1er mars au 1er décembre de 10h à 12h et de 13h30 à 18h;
Musée d'Argonne;2, Rue Louis XVI;55270;VARENNES-EN-ARGONNE;site de la conservation : www.cg55.fr;Octobre à avril;Ouvert de mi avril à fin  juin et en septembre les week-end et jours fériés de 14h30 à 17h30, en juillet-août tous les jours de 14h30 à 17h30;
Musée Jeanne d'Arc;Hôtel de Ville;55140;VAUCOULEURS;;;Ouvert de mai à septembre du lundi au vendredi de 10h à 12h et de 14h à 18h, samedi, dimanche et jours fériés de 14h à 18h.;
Musée de la Princerie;16, Rue de la Belle Vierge;55100;VERDUN;www.musee-princerie.fr;Novembre à mars;Ouvert du mercredi au lundi de 9h30 à 12h et de 14h à 18h du 1er avril au 31 octobre;
Musée Départemental de la Guerre de 70;11, Rue de Metz;57130;GRAVELOTTE;http://www.cg57.fr/vivrelamoselle/Pages/Tourisme/museesdepartementaux/MuseeGravelotte.aspx;;;
Musée Départemental du Sel;Porte de France;57630;MARSAL;Site du conseil général - www.mosellepassion.fr;1er mai, 22 décembre au 7 janvier;Ouvert du mardi au dimanche de 9h30 à 12h et de 13h30 à 18h;
Maison du Verre et du Cristal;Place Robert Schumann;57960;MEISENTHAL;http://www.musee-verre.webmuseo.com/;De Novembre à Pâques;Ouvert de Pâques au 31 octobre de 14h à 18h du mercredi au lundi + saison Noël du 9 novembre au 29 décembre de 14h à 17h;
Musées de la Cour d'Or;2, Rue du Haut Poirier;57000;METZ;www.musee.metzmetropole.fr;1er janvier, Vendredi Saint, 1er et 8 mai, Ascension, 14 juil, 15 août, 1er et 11 novembre, 25 décembre, et 24 et 31 décembre après-midi;Ouvert du mercredi au lundi de 9h à 18h;
Centre Pompidou de Metz;"1, Parvis des Droits-de-l'Homme
CS 90490";57020;METZ Cedex 1;www.centrepompidou-metz.fr;;Ouvert lundi et mercredi de 11h à 18h, jeudi et vendredi de 11h à 20h, samedi de 10h à 20h, dimanche de 10h à 18h;jusqu'à 20 h jeudi à samedi jusqu'en avril et samedi à partir de mai
Musée des Mines de fer de Lorraine;Lieu dit Haméviller;57700;NEUFCHEF;www.musee.desminesdefer-lorraine.com;;Ouvert du mardi au dimanche de 14h à 18h toute l'année, pour les groupes de 8h30 à 18h tous les jours;
Musée de la Mine - Carreau Wendel;Parc Explor Wendel;57540;PETITE-ROSSELLE;www.musee-les-mineurs.fr;25 et 26 décembre et 1ère semaine de janvier;Ouvert du mardi au dimanche de 10h à 18h;
Musée Militaire et Erckmann-Chatrian;"Hôtel de Ville
Place d’Armes";57370;PHALSBOURG;www.phalsbourg.fr/La_culture__les_loisirs/Le_Musee;Jours fériés;Ouvert du lundi au vendredi de 9h à 12h et de 13h30 à 17h, le samedi de 10h à 12h, en juillet-août samedi et dimanche de 10h à 12h et de 14h à 17h;
Musée du Pays de Sarrebourg;Rue de la Paix;57400;SARREBOURG;www.ville-sarrebourg.fr/Culture/Musee;le 1er janvier, le jour de Pâques, le 1er mai, le 25 et 26 décembre;Ouvert du mercredi au samedi de 10h à 12h et de 14h à 18h et le dimanche et jours fériés de 14h à 18h;
Jardin d'Hiver, Musée de La Faïence;15-17, Rue Poincaré;57200;SARREGUEMINES;www.sarreguemines-museum.com;1er Janvier, Dimanche de Pâques, 1er Mai, 25 Décembre;Ouvert du mardi au dimanche de 10h à 12h et de 14h à 18h + lundis fériés;
Moulin de la Blies - Musée des Techniques Faïencières;125, Avenue de la Blies;57200;SARREGUEMINES;www.sarreguemines-museum.com;1er Janvier, Dimanche de Pâques, 1er Mai, 1er Novembre et 25 Décembre;Ouvert du mardi au dimanche & lundis fériés de 10h à 12h et de 14h à 18h du 1er novembre au 31 mars et du 1er avril au 31 octobre de 10h à 18h;
La Tour aux Puces - Musée du Pays Thionvillois;"Cour du Château
B.P. 30352";57125;THIONVILLE Cedex;www.tourauxpuces.com;Dimanche de Pâques, 1er novembre, 25 et 26 décembre, 1er janvier;Ouvert du mardi au dimanche de 14h à 18h du 16 septembre au 14 juin, du mardi au dimanche de 9h30 à 11h30 et de 14h à 18h du 15 juin au 15 septembre;
Musée Départemental Georges de la Tour;"Hôtel de la Monnaie
Rue Vignon";57630;VIC-SUR-SEILLE;www.cg57.fr/culture/1-8-delatour.asp;1er mai, 23 décembre au 7 janvier inclus;Ouvert du mardi au dimanche de 9h30 à 12h et de 13h30 à 18h;
Musée de l'Image;42 quai de Dogneville;88000;EPINAL;www.museedelimage.fr;25 décembre, 1er janvier et le mardi suivant Päques;Ouvert tous les jours du 1er septembre au 30 juin de 9h30 à 12h et de 14h à 18h, vendredi de 9h30 à 18h, dimanche et jours fériés de 10h à 12h et de 14h à 18h, en juillet-août tous les jours de 9h30 à 12h30 et de 13h30 à 18h30, vendredi de 9h30 à 18h30, d;
Musée Départemental d'Art Ancien et Contemporain;"1, Place Lagarde
B.P. 436";88011;EPINAL Cedex;Site du conseil général - www.vosges.fr;1er Janvier, 1er mai, 1er novembre et 25 décembre;Ouvert le lundi et du mercredi au samedi de 9h à 12h30 et de 13h30 à 18h, le dimanche de 13h30 à 18h;
Musée de la Lutherie;B.P. 189;88507;MIRECOURT CEDEX;www.musee-lutherie-mirecourt.fr;1er janvier, 1er mai, 25 décembre et 15 jours en janvier;Ouvert de mai à septembre du lundi au samedi de 10h à 12h et de 14h à 18h, d'octobre à avril mercredi et samedi de 10h à 12h et de 14h à 18h, petites vacances scolaires (3 zones) lundi et du mercredi au samedi de 10h à 12h et de 14h à 18h, dimanche et jou;
Musée Louis Français;30, Avenue Louis Français;88370;PLOMBIERES-LES-BAINS;site de la ville;;Ouvert en 2013 en visite guidée accompagnée et lors de certaines grandes manifestations organisées par la ville;
Musée Charles de Bruyères;70, Rue Charles de Gaulle;88200;REMIREMONT;www.remiremont.fr/culture/musees.php;1er janvier, 1er mai, Ascension, Toussaint, 25 décembre, en octobre;Ouvert de janvier à mars du lundi au samedi de 14h à 18h, et en avril de 14h à 18h et de mai à septembre de 10h à 12h et de 14h à 18h, de novembre à décembre de 14h à 18h du mercredi au lundi;
Musée Charles Friry;12, Rue du Général Humbert;88200;REMIREMONT;www.remiremont.fr/culture/musees.php;1er janvier, 1er mai, Ascension, Toussaint, 25 décembre, en octobre;Ouvert de janvier à mars du lundi au samedi de 14h à 18h, et en avril de 14h à 18h et de mai à septembre de 10h à 12h et de 14h à 18h, de novembre à décembre de 14h à 18h du mercredi au lundi;
Musée Pierre Noël - Musée de la Vie dans les Hautes-Vosges;11, rue Saint-Charles;88100;SAINT-DIE-DES-VOSGES;Site de la ville - www.ville-saintdie.fr;Jours fériés;Ouvert de mai à mi-octobre du mardi au samedi de 10h à 12h et de 14h à 18h, le dimanche de 14h à 18h, et de mi-octobre à avril du mardi au dimanche de  14h à 18h + mercredi de 10h à 12h;
Musée Départemental d'Archéologie Précolombienne et de Préhistoire de la Martinique;9, rue de la Liberté;97200;FORT-DE-FRANCE;www.cg972.fr/mdap;;Ouvert le lundi de 13h à 17h,  du mardi au vendredi de 8h à 17h, le samedi de 9h à 12h;
Musée Régional d'Histoire et d'Ethnologie;10, Boulevard du Général de Gaulle;97200;FORT-DE-FRANCE - MARTINIQUE-;http://www.cr-martinique.fr/francais/institution/serv-region/musees/histoire_ethno.htm;;Ouvert le lundi, mercredi à vendredi de 8h30 à 17h, le mardi de 14h à 17h, le samedi de 8h30 à 12h;
Muséum d'Histoire Naturelle;B.P. 4030;97254;FORT-DE-FRANCE TERRE-SAINVILLE Cedex;;;;
Musée de La Canne;Quartier Vatable;97229;LES TROIS ILETS;http://www.zananas-martinique.com/martinique-patrimoine/maison-de-la-canne.html;;Ouvert du mardi au jeudi de 8h30 à 17h30, vendredi et samedi de 8h30 à 17h et le dimanche de 9h à 17h;
Ecomusée de la Martinique;Anse Figuier;97211;RIVIERE-PILOTE;/www.cr-martinique.fr/francais/institution/serv-region/musees/ecomusee.htm;;Ouvert du mardi au jeudi de 8h30 à 17h30, le vendredi de 8h30 à 17h, le samedi de 8h30 à 13h et de 14h à 17h, le dimanche de 9h à 13h et de 14h à 17h;
Musée Volcanologique Franck Arnold Perret;Rue Victor Hugo;97250;SAINT-PIERRE;http://www.saintpierre-martinique.fr;1er janvier;Ouvert tous les jours de 9h à 17h;
Musée Départemental de l'Ariège;Rue du Rocher;9000;FOIX;www.sesta.fr ou www.ariege.com/chateaufoix/index.html;1er septembre, 25 décembre, 1er janvier;Ouvert de janvier à avril et d'octobre à décembre de 10h30 à 12h et de 14h à 17h30, en janvier la 1ère semaine puis seulement les week-ends, en mai de 10h30 à12h et de 14h à 17h30 en semaine et de 9h45 à 12h et de 14h à 18h les week-ends et jours fériés,;
Musée du Textile et du Peigne en Corne;65, Rue Jean Jaurès;9300;LAVELANET;www.paysdolmes.org - www.geocities.com/amtpc2000;1er mai;Ouvert en juillet et août de 14h à 19h et de mi-avril à mi-octobre de 14h à 18h du mardi au dimanche;
Musée de la Préhistoire;Place de l'Eglise;9290;LE MAS D'AZIL;www.grotte-masdazil.com;Janvier, 25 décembre;Ouvert en février, mars vacances et dimanches de 14h à 18h, d'avril à juin et septembre du mardi au dimanche de 14h à 18h, juillet/août tous les jours de 11h à 13h et de 14h à 19h, octobre/novembre les dimanches, jours fériés et vacances de 14h à 18h (fer;
Musée de la Forge;Route de Paris;9330;MONTGAILHARD;www.sesta.fr;25 décembre et 1er janvier;Ouvert lors des vacances d'hiver toutes zones, les vacances de Noël et du 1er dimanche d'avril au 30 juin tous les jours de 10h à 12h et de 13h30 à 18h, le dimanche et jours fériés de 10h à 12h et de 13h30 à 18h30, en juillet-août tous les jours de 10h à;
Musée d'Archéologie;32, Village;9300;MONTSEGUR;Site de la ville : www.citaenet.com/montsegur;Janvier et 25 décembre;Ouvert de février à mars de 14h à 19h, en avril de 14h à 18h, de mai à septembre de 11h à 13h et de 14h à 19h, en octobre de 14h à 18h et de novembre à décembre de 14h à 17h;
Musée du Palais des Evêques;Route de Montjoie;9190;SAINT-LIZIER;Site du Service d'exploitation des sites touristiques de l'Ariège - www.sesta.fr ou www.grands-sites-ariege.fr;1er janvier, du 7 janvier au 22 février, du 11 mars au 30 mars, du 4 au 8 novembre et du 12 novembre au 21 décembre, 25 décembre;Ouvert de 14h à 18h du 2 au 5 janvier, du 25 février au 10 mars, du 31 mars au 30 juin, du 17 septembre au 3 novembre et du 22 au 31 décembre et de 10h30 à 19h du 1er juillet au 15 septembre;
Musée Régional de Géologie Pierre Vetter;Avenue Paul Ramadier;12300;DECAZEVILLE;www.decazeville.fr ou www.musees-midi-pyrenees.fr;;Ouvert du mardi au samedi de 10h à 12h et de 14h à 18h. Ouvert le dimanche et le lundi uniquement sur réservation pour les groupes;
Musée des Mœurs et Coutumes, Musée du Rouergue;Place Frontin;12500;ESPALION;www.aveyron-culture.com;Octobre à mai;Ouvert de juin à septembre du mardi au dimanche de 10h à 12h et de 14h à 18h. Accueil des groupes sur rendez-vous;
Musée Joseph Vaylet;"Ancienne église St. Jean Baptiste
35, rue Droite";12500;ESPALION;www.tourisme-espalion.fr - http://www.museeduscaphandre.com;Les autres mois;Ouvert de juin à septembre du mardi au dimanche de 10h à 12h et de 14h à 18h. Accueil des groupes sur rendez-vous;
Musée Municipal de Millau;"Hôtel de Pégayolles
Place du Maréchal Foch";12100;MILLAU;www.millauculture.fr ou www.ot-millau.fr;Jours fériés d'octobre à mai;Ouvert de mai à juin, en septembre et d'octobre à mars du lundi au samedi de 10h à 12h et de 14h à 18h, en juillet-août tous les jours de 10h à 18h;
